id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price
9033,Koregaon Park,3984,5,5,1992,1,42678480
9034,Viman Nagar,1047,2,2,2017,1,9515197
9035,Viman Nagar,2842,5,4,2019,1,24822157
9036,Hinjewadi,943,2,2,2019,0,5436020
9037,Pimpri-Chinchwad,2248,4,3,2023,1,15810734
9038,Viman Nagar,1298,3,3,1992,1,9851712
9039,Koregaon Park,671,1,2,1996,0,7325852
9040,Kalyani Nagar,1888,4,4,2019,1,19505711
9041,Hinjewadi,946,2,2,2024,1,6105132
9042,Viman Nagar,1939,4,4,2014,0,16028542
9043,Viman Nagar,2229,4,4,1990,1,17059477
9044,Viman Nagar,735,1,2,2016,0,6084697
9045,Viman Nagar,3761,5,4,2019,1,33089546
9046,Pimpri-Chinchwad,899,2,2,2015,1,6104178
9047,Kalyani Nagar,2573,4,3,2005,1,25095436
9048,Viman Nagar,1385,3,3,2020,1,12766964
9049,Pimpri-Chinchwad,1068,2,2,1996,1,6648697
9050,Viman Nagar,1479,3,2,1995,0,10606197
9051,Pimpri-Chinchwad,1858,4,3,1994,1,11109048
9052,Hinjewadi,2243,4,4,1999,1,12524037
9053,Kalyani Nagar,1481,3,3,2013,1,15822829
9054,Kalyani Nagar,1471,3,2,2026,1,16391044
9055,Koregaon Park,1108,2,2,2001,0,12182037
9056,Koregaon Park,556,1,1,1990,0,6120827
9057,Koregaon Park,1071,2,2,2026,1,13407392
9058,Kalyani Nagar,3014,5,4,1998,1,29535988
9059,Hinjewadi,3020,5,5,2021,1,18410826
9060,Viman Nagar,700,1,2,2026,0,6195310
9061,Pimpri-Chinchwad,2396,4,3,2018,1,15464657
9062,Kalyani Nagar,817,2,2,2010,0,8221979
9063,Pimpri-Chinchwad,1627,3,3,2015,1,10690816
9064,Hinjewadi,1266,3,2,1992,0,6595986
9065,Koregaon Park,2375,4,4,2016,1,29962017
9066,Koregaon Park,838,2,2,2020,0,10525360
9067,Koregaon Park,699,1,2,2004,0,7837882
9068,Pimpri-Chinchwad,1083,2,2,1996,1,6470593
9069,Viman Nagar,674,1,2,2005,1,5726743
9070,Pimpri-Chinchwad,1494,3,3,1992,0,8604050
9071,Pimpri-Chinchwad,746,1,1,2003,0,4513224
9072,Kalyani Nagar,1267,3,2,2010,1,13312067
9073,Koregaon Park,1318,3,2,1994,1,15169292
9074,Hinjewadi,1423,3,3,2017,1,8856681
9075,Kalyani Nagar,802,2,2,2026,1,9328206
9076,Koregaon Park,1090,2,2,1993,1,12485136
9077,Pimpri-Chinchwad,1075,2,2,2000,1,7003999
9078,Viman Nagar,726,1,2,1992,0,5503438
9079,Viman Nagar,923,2,2,1993,0,6865356
9080,Pimpri-Chinchwad,574,1,1,2015,1,4139372
9081,Viman Nagar,696,1,2,1999,1,5734552
9082,Pimpri-Chinchwad,578,1,1,2009,1,3860162
9083,Hinjewadi,4190,5,4,2011,1,22841980
9084,Hinjewadi,4140,5,4,2017,1,22491436
9085,Kalyani Nagar,620,1,1,2010,0,6247483
9086,Hinjewadi,519,1,1,1996,0,2619957
9087,Kalyani Nagar,4190,5,4,2004,1,39675607
9088,Koregaon Park,607,1,2,2020,0,7955038
9089,Viman Nagar,662,1,2,1997,1,5247833
9090,Hinjewadi,922,2,2,2008,1,5525374
9091,Koregaon Park,1104,2,2,2002,0,12459876
9092,Hinjewadi,1375,3,2,2021,1,8310984
9093,Pimpri-Chinchwad,933,2,2,1997,1,5578227
9094,Pimpri-Chinchwad,4168,5,5,2000,1,24215748
9095,Pimpri-Chinchwad,1250,3,2,2026,1,9375090
9096,Viman Nagar,2255,4,3,2006,1,18468236
9097,Hinjewadi,1255,3,3,2010,0,7289919
9098,Pimpri-Chinchwad,2038,4,4,1991,1,11945165
9099,Koregaon Park,1600,3,3,2015,1,18902062
9100,Koregaon Park,1427,3,3,1993,0,16018695
9101,Koregaon Park,1408,3,2,2002,0,15737813
9102,Kalyani Nagar,1002,2,2,1995,0,9518331
9103,Kalyani Nagar,1447,3,3,2002,1,14583462
9104,Hinjewadi,677,1,2,2000,0,3705413
9105,Kalyani Nagar,1906,4,4,1997,1,19022301
9106,Koregaon Park,3017,5,5,2002,1,33619889
9107,Kalyani Nagar,1594,3,2,2008,1,15323297
9108,Koregaon Park,2370,4,3,2000,1,26655012
9109,Viman Nagar,1366,3,3,2018,1,12484815
9110,Hinjewadi,1267,3,2,2011,1,7492137
9111,Pimpri-Chinchwad,586,1,1,1993,0,3360643
9112,Kalyani Nagar,1837,4,4,2000,1,17825918
9113,Pimpri-Chinchwad,2550,4,3,1993,1,14279110
9114,Hinjewadi,3464,5,4,2023,1,20131556
9115,Viman Nagar,523,1,1,2025,0,4775435
9116,Hinjewadi,748,1,1,1990,1,3623360
9117,Viman Nagar,645,1,2,2016,1,5716393
9118,Hinjewadi,714,1,2,2019,0,4063516
9119,Hinjewadi,2938,5,5,1990,1,14280458
9120,Koregaon Park,2397,4,3,2026,1,29391523
9121,Viman Nagar,905,2,2,2005,0,7549129
9122,Kalyani Nagar,3966,5,5,1997,1,37754398
9123,Pimpri-Chinchwad,2878,5,4,1994,1,16443418
9124,Hinjewadi,998,2,2,2014,1,6309758
9125,Kalyani Nagar,1406,3,2,2009,1,14308211
9126,Kalyani Nagar,1476,3,2,2019,1,15731170
9127,Pimpri-Chinchwad,1253,3,2,2003,0,8179339
9128,Koregaon Park,3643,5,4,2022,1,44383060
9129,Koregaon Park,1812,4,4,2021,1,24470733
9130,Hinjewadi,3442,5,4,2014,1,18975288
9131,Hinjewadi,682,1,1,2017,0,3992198
9132,Koregaon Park,2823,5,4,2004,1,32784734
9133,Hinjewadi,2771,5,4,1996,1,14769831
9134,Kalyani Nagar,1070,2,2,2024,1,11672208
9135,Pimpri-Chinchwad,2569,4,3,2001,1,15739605
9136,Kalyani Nagar,2792,5,4,1996,1,26231803
9137,Koregaon Park,1302,3,3,1999,1,14823859
9138,Koregaon Park,902,2,2,1991,1,9747898
9139,Viman Nagar,2532,4,4,1991,1,18190592
9140,Hinjewadi,1486,3,3,2003,1,8119840
9141,Koregaon Park,4145,5,4,2022,1,52867836
9142,Pimpri-Chinchwad,1425,3,3,2004,0,9098784
9143,Hinjewadi,3490,5,5,1996,1,18199266
9144,Koregaon Park,1660,3,2,2022,1,20684292
9145,Hinjewadi,1045,2,2,2023,1,6508048
9146,Viman Nagar,872,2,2,1990,1,6639997
9147,Hinjewadi,981,2,2,1994,1,5587902
9148,Viman Nagar,571,1,1,2021,1,5066197
9149,Koregaon Park,1517,3,3,2008,1,18014472
9150,Koregaon Park,1369,3,3,2009,1,16005599
9151,Hinjewadi,1973,4,4,2005,1,10731872
9152,Pimpri-Chinchwad,542,1,1,2011,0,3592257
9153,Kalyani Nagar,925,2,2,1995,0,8707694
9154,Viman Nagar,853,2,2,2009,1,7718696
9155,Viman Nagar,811,2,2,2005,0,6707881
9156,Pimpri-Chinchwad,1820,4,3,2024,1,12638936
9157,Viman Nagar,1101,2,2,2005,0,8660480
9158,Viman Nagar,1333,3,2,2025,0,12151970
9159,Koregaon Park,675,1,1,2014,0,8121044
9160,Kalyani Nagar,2021,4,4,2010,1,20701896
9161,Koregaon Park,1627,3,3,1997,1,18786282
9162,Pimpri-Chinchwad,1976,4,4,1993,1,11390412
9163,Pimpri-Chinchwad,2971,5,4,2024,1,19646847
9164,Kalyani Nagar,1671,3,2,1998,1,16443218
9165,Koregaon Park,509,1,1,2001,0,5914478
9166,Kalyani Nagar,1405,3,2,2025,1,15281524
9167,Koregaon Park,2056,4,3,2022,1,25300829
9168,Viman Nagar,2492,4,4,2025,1,22335480
9169,Koregaon Park,3675,5,5,2004,1,41197592
9170,Hinjewadi,624,1,1,2009,1,3791368
9171,Koregaon Park,933,2,2,1994,0,10176620
9172,Koregaon Park,1557,3,3,2007,0,17638491
9173,Kalyani Nagar,4013,5,5,2011,0,39031923
9174,Kalyani Nagar,683,1,1,2007,1,7099619
9175,Koregaon Park,1279,3,2,2011,1,15434802
9176,Kalyani Nagar,1103,2,2,2013,0,11228270
9177,Hinjewadi,942,2,2,2019,0,5586048
9178,Koregaon Park,1321,3,2,1997,1,15272755
9179,Pimpri-Chinchwad,822,2,2,2002,0,5320353
9180,Koregaon Park,1455,3,2,2012,0,17722668
9181,Kalyani Nagar,1052,2,2,1990,1,9782053
9182,Koregaon Park,1089,2,2,2010,1,13522172
9183,Pimpri-Chinchwad,1652,3,3,1996,1,10176236
9184,Pimpri-Chinchwad,2490,4,4,1996,0,13833278
9185,Viman Nagar,2255,4,4,2011,1,19195925
9186,Kalyani Nagar,1542,3,2,2008,1,15834707
9187,Kalyani Nagar,611,1,1,2018,1,6324012
9188,Hinjewadi,1623,3,3,2017,1,9312641
9189,Hinjewadi,1137,2,2,2026,0,6983560
9190,Kalyani Nagar,4104,5,5,2020,1,43730391
9191,Hinjewadi,557,1,1,2013,0,3078964
9192,Koregaon Park,1805,4,3,2009,1,21919729
9193,Hinjewadi,716,1,1,1996,0,3617840
9194,Koregaon Park,2853,5,5,2000,1,31899749
9195,Kalyani Nagar,912,2,2,2012,1,9349881
9196,Hinjewadi,848,2,2,1991,1,4744767
9197,Hinjewadi,1533,3,2,2026,1,9901527
9198,Viman Nagar,612,1,2,2006,0,5232427
9199,Pimpri-Chinchwad,988,2,2,2010,1,6793477
9200,Pimpri-Chinchwad,3651,5,4,2009,1,22878292
9201,Viman Nagar,944,2,2,2007,0,7810447
9202,Koregaon Park,3507,5,5,2008,1,40645061
9203,Hinjewadi,535,1,2,2009,0,3042495
9204,Kalyani Nagar,1342,3,2,2024,1,14577334
9205,Kalyani Nagar,1891,4,4,1995,1,18304330
9206,Hinjewadi,936,2,2,2007,1,5542538
9207,Pimpri-Chinchwad,1330,3,3,2014,1,8695324
9208,Hinjewadi,2176,4,3,2016,1,13179892
9209,Kalyani Nagar,2562,4,4,1997,1,24697061
9210,Viman Nagar,1110,2,2,2000,0,8636597
9211,Kalyani Nagar,1429,3,3,2009,1,14100612
9212,Pimpri-Chinchwad,566,1,2,2009,0,3584201
9213,Hinjewadi,906,2,2,2004,1,5261069
9214,Pimpri-Chinchwad,2532,4,4,2001,1,15003098
9215,Pimpri-Chinchwad,2949,5,5,2004,1,17953506
9216,Hinjewadi,1650,3,3,2002,1,8991087
9217,Pimpri-Chinchwad,641,1,1,2011,0,4010662
9218,Pimpri-Chinchwad,1034,2,2,2015,1,6833238
9219,Hinjewadi,2214,4,3,1997,1,11869678
9220,Kalyani Nagar,2503,4,4,2012,1,25805412
9221,Hinjewadi,2227,4,4,1990,1,11867520
9222,Kalyani Nagar,1883,4,3,2015,1,19223635
9223,Viman Nagar,577,1,1,2020,1,4959798
9224,Koregaon Park,926,2,2,1999,0,10457471
9225,Koregaon Park,2014,4,3,2021,1,26025280
9226,Koregaon Park,2178,4,4,1995,1,24165053
9227,Viman Nagar,1376,3,2,2008,1,11030041
9228,Hinjewadi,2516,4,4,1995,1,13302374
9229,Koregaon Park,990,2,2,2001,1,11440686
9230,Kalyani Nagar,1114,2,2,1992,1,10395875
9231,Hinjewadi,1575,3,2,2010,1,9086109
9232,Kalyani Nagar,3634,5,5,2014,1,34933023
9233,Koregaon Park,714,1,2,2022,1,9299491
9234,Koregaon Park,1374,3,2,2017,1,17435166
9235,Pimpri-Chinchwad,1935,4,4,2013,1,13457537
9236,Pimpri-Chinchwad,3770,5,5,2015,1,24993646
9237,Pimpri-Chinchwad,526,1,2,1994,0,3118374
9238,Kalyani Nagar,1235,3,2,2025,1,14059043
9239,Koregaon Park,529,1,2,2001,1,6388857
9240,Pimpri-Chinchwad,1927,4,4,1998,1,11541597
9241,Hinjewadi,2573,4,4,2015,1,15288128
9242,Viman Nagar,1003,2,2,2014,1,8767269
9243,Koregaon Park,1150,2,2,1990,1,12832681
9244,Pimpri-Chinchwad,1088,2,2,2013,1,6993478
9245,Hinjewadi,514,1,1,2020,0,3171404
9246,Hinjewadi,2500,4,3,2023,1,15243779
9247,Koregaon Park,2356,4,3,2018,1,29016331
9248,Kalyani Nagar,642,1,2,1998,0,5904369
9249,Pimpri-Chinchwad,616,1,2,2016,1,4464486
9250,Pimpri-Chinchwad,3480,5,4,2018,1,21464994
9251,Viman Nagar,1601,3,2,2017,1,13827215
9252,Viman Nagar,1445,3,3,1990,1,10506541
9253,Viman Nagar,532,1,2,2009,0,4409601
9254,Kalyani Nagar,502,1,2,1992,0,4879308
9255,Pimpri-Chinchwad,725,1,2,2012,0,4683595
9256,Viman Nagar,3195,5,5,2003,1,24335356
9257,Viman Nagar,2491,4,3,2017,1,20377958
9258,Viman Nagar,1050,2,2,2012,0,8641581
9259,Kalyani Nagar,3927,5,4,2018,1,41502143
9260,Koregaon Park,1058,2,2,2022,1,14044056
9261,Viman Nagar,1146,2,2,2009,1,9663338
9262,Kalyani Nagar,1117,2,2,2015,0,11466988
9263,Koregaon Park,1447,3,2,2016,1,18548303
9264,Hinjewadi,1696,3,2,1995,1,9165676
9265,Viman Nagar,2500,4,4,1992,1,17730581
9266,Koregaon Park,4115,5,4,1992,1,41321189
9267,Pimpri-Chinchwad,2363,4,3,2018,1,16029713
9268,Hinjewadi,1025,2,2,2018,0,6177648
9269,Hinjewadi,948,2,2,2025,1,6392982
9270,Pimpri-Chinchwad,2969,5,5,1991,1,16200505
9271,Viman Nagar,635,1,2,1997,0,4668702
9272,Hinjewadi,807,2,2,2002,0,4362718
9273,Kalyani Nagar,716,1,2,2024,0,8095820
9274,Viman Nagar,2255,4,3,2017,1,19608366
9275,Hinjewadi,989,2,2,1995,1,5391839
9276,Pimpri-Chinchwad,1200,3,3,2026,1,9052209
9277,Kalyani Nagar,3808,5,5,1995,1,36031601
9278,Kalyani Nagar,2436,4,3,2026,1,26064692
9279,Pimpri-Chinchwad,2860,5,4,2006,1,17903598
9280,Koregaon Park,2083,4,3,2004,1,24570646
9281,Koregaon Park,895,2,2,2014,0,11427987
9282,Hinjewadi,1586,3,2,2020,0,9067782
9283,Pimpri-Chinchwad,3769,5,5,2021,1,25002586
9284,Kalyani Nagar,602,1,1,2026,1,6642703
9285,Koregaon Park,800,2,2,2002,1,9795861
9286,Kalyani Nagar,4110,5,4,2002,1,38501069
9287,Pimpri-Chinchwad,3671,5,5,2007,1,23515591
9288,Kalyani Nagar,936,2,2,2017,0,9955702
9289,Pimpri-Chinchwad,2884,5,4,1999,1,17903585
9290,Kalyani Nagar,1987,4,3,1996,1,19583284
9291,Pimpri-Chinchwad,3704,5,4,2018,1,24386363
9292,Kalyani Nagar,2288,4,3,2009,1,23360335
9293,Koregaon Park,1110,2,2,2025,0,13812079
9294,Kalyani Nagar,1966,4,4,2024,1,21302224
9295,Hinjewadi,2487,4,4,2023,1,14522727
9296,Viman Nagar,2050,4,3,2015,1,18260305
9297,Hinjewadi,4157,5,4,2020,1,24461025
9298,Hinjewadi,889,2,2,1997,1,5069946
9299,Koregaon Park,1260,3,3,2024,1,17486423
9300,Viman Nagar,520,1,1,1993,1,4161782
9301,Pimpri-Chinchwad,556,1,2,1998,0,3524352
9302,Hinjewadi,735,1,1,1998,1,3969387
9303,Koregaon Park,1038,2,2,1990,1,11494409
9304,Kalyani Nagar,3551,5,5,2010,1,36116496
9305,Hinjewadi,2071,4,4,1993,1,11277758
9306,Pimpri-Chinchwad,575,1,2,2005,0,3595877
9307,Pimpri-Chinchwad,3329,5,5,2008,1,20506529
9308,Koregaon Park,590,1,2,2025,1,8060286
9309,Kalyani Nagar,1350,3,2,1998,0,12838517
9310,Viman Nagar,2850,5,4,2016,1,23451773
9311,Kalyani Nagar,1311,3,2,2002,1,12890503
9312,Viman Nagar,4113,5,4,1991,1,30537639
9313,Hinjewadi,2383,4,3,1990,1,12300909
9314,Hinjewadi,1885,4,4,2008,1,11392237
9315,Kalyani Nagar,899,2,2,2025,0,10158384
9316,Koregaon Park,2476,4,4,2025,1,30317177
9317,Pimpri-Chinchwad,2440,4,4,2013,0,16201319
9318,Kalyani Nagar,1054,2,2,2016,0,11083210
9319,Koregaon Park,1497,3,2,1995,1,16025504
9320,Koregaon Park,990,2,2,1992,1,10973376
9321,Hinjewadi,3253,5,4,2003,1,16768354
9322,Koregaon Park,718,1,2,2001,0,8174878
9323,Kalyani Nagar,656,1,2,2007,0,6733839
9324,Pimpri-Chinchwad,747,1,1,1990,1,4147852
9325,Pimpri-Chinchwad,1084,2,2,2017,0,7109367
9326,Pimpri-Chinchwad,1458,3,2,2023,1,10066590
9327,Hinjewadi,716,1,1,2005,0,3607031
9328,Hinjewadi,801,2,2,2012,0,4786454
9329,Pimpri-Chinchwad,545,1,2,2004,0,3570823
9330,Pimpri-Chinchwad,2592,4,3,1998,1,15517323
9331,Hinjewadi,4145,5,5,2019,1,24559454
9332,Pimpri-Chinchwad,3798,5,4,2026,1,24976353
9333,Kalyani Nagar,4144,5,4,2016,1,40497575
9334,Kalyani Nagar,1981,4,3,2016,1,20777386
9335,Koregaon Park,3141,5,5,2008,1,35071130
9336,Pimpri-Chinchwad,1804,4,3,1990,1,10296239
9337,Hinjewadi,943,2,2,1996,0,5178871
9338,Koregaon Park,608,1,2,1999,0,6637154
9339,Pimpri-Chinchwad,1419,3,3,2002,1,8726874
9340,Hinjewadi,577,1,2,1997,0,3151394
9341,Viman Nagar,947,2,2,2019,1,8408090
9342,Koregaon Park,657,1,1,2023,0,8009976
9343,Kalyani Nagar,686,1,2,2017,1,7412076
9344,Koregaon Park,576,1,2,2021,0,7468537
9345,Pimpri-Chinchwad,1670,3,3,2005,1,10561269
9346,Hinjewadi,941,2,2,2015,1,5818109
9347,Koregaon Park,2270,4,4,2000,0,24502373
9348,Hinjewadi,2444,4,3,2013,1,13167658
9349,Kalyani Nagar,839,2,2,2012,1,9046184
9350,Viman Nagar,1127,2,2,1992,0,8232016
9351,Koregaon Park,700,1,1,1998,0,7392964
9352,Hinjewadi,3774,5,4,1992,1,18115885
9353,Pimpri-Chinchwad,3852,5,5,2023,1,24562279
9354,Kalyani Nagar,895,2,2,2005,1,8708923
9355,Viman Nagar,858,2,2,2018,0,7787967
9356,Viman Nagar,1382,3,2,2011,1,12105460
9357,Kalyani Nagar,709,1,1,2017,1,7750721
9358,Viman Nagar,1000,2,2,2012,1,9022096
9359,Koregaon Park,2305,4,4,2018,1,29051123
9360,Hinjewadi,871,2,2,2008,0,4955143
9361,Viman Nagar,1241,3,2,2019,1,11654754
9362,Koregaon Park,900,2,2,1999,1,10817141
9363,Hinjewadi,2119,4,3,1996,1,10845725
9364,Koregaon Park,990,2,2,2007,1,11507666
9365,Viman Nagar,2566,4,3,2009,1,21726492
9366,Kalyani Nagar,519,1,2,1997,0,4958414
9367,Hinjewadi,1021,2,2,2000,1,5939224
9368,Koregaon Park,613,1,1,1995,1,6593182
9369,Viman Nagar,1888,4,3,2017,1,17185997
9370,Kalyani Nagar,2129,4,3,2024,1,22852500
9371,Kalyani Nagar,1106,2,2,2021,0,11472538
9372,Kalyani Nagar,3003,5,4,2025,1,33900609
9373,Kalyani Nagar,3055,5,5,2025,1,32154090
9374,Kalyani Nagar,2213,4,4,2006,1,21499918
9375,Kalyani Nagar,2787,5,5,2001,1,25698484
9376,Koregaon Park,2923,5,5,1990,0,29900601
9377,Koregaon Park,3015,5,5,1999,1,34279301
9378,Koregaon Park,3059,5,4,2014,1,36961818
9379,Viman Nagar,3603,5,5,1992,1,26479724
9380,Pimpri-Chinchwad,2492,4,4,2007,1,15656084
9381,Pimpri-Chinchwad,1535,3,2,2024,1,11091610
9382,Koregaon Park,3483,5,4,2019,1,44453154
9383,Pimpri-Chinchwad,1904,4,3,2018,1,12449425
9384,Pimpri-Chinchwad,501,1,2,2013,0,3427619
9385,Hinjewadi,663,1,2,1998,1,3685433
9386,Viman Nagar,720,1,2,2019,1,6148216
9387,Viman Nagar,1581,3,3,1998,0,12603158
9388,Viman Nagar,1552,3,2,1994,1,12267904
9389,Viman Nagar,946,2,2,1990,1,6912858
9390,Koregaon Park,2207,4,4,2026,1,30161818
9391,Pimpri-Chinchwad,616,1,1,2001,0,3512440
9392,Viman Nagar,1928,4,3,2010,1,15400152
9393,Koregaon Park,926,2,2,1992,1,9937391
9394,Hinjewadi,691,1,1,2018,0,3748907
9395,Pimpri-Chinchwad,1255,3,2,2012,1,8856835
9396,Viman Nagar,1349,3,2,2005,0,11331143
9397,Kalyani Nagar,2294,4,4,2005,1,22867093
9398,Koregaon Park,1532,3,3,2011,1,18352271
9399,Kalyani Nagar,1590,3,2,2017,0,16752249
9400,Kalyani Nagar,913,2,2,2009,1,9809086
9401,Koregaon Park,629,1,2,2018,1,8380703
9402,Viman Nagar,1097,2,2,2000,1,8820662
9403,Pimpri-Chinchwad,2353,4,4,2019,1,15794133
9404,Kalyani Nagar,1343,3,3,2018,1,15154266
9405,Viman Nagar,994,2,2,2026,1,9046579
9406,Viman Nagar,2279,4,4,2000,1,18140285
9407,Viman Nagar,1093,2,2,2017,0,9649895
9408,Hinjewadi,1664,3,3,2022,0,9666189
9409,Viman Nagar,978,2,2,1991,1,7370417
9410,Kalyani Nagar,3341,5,4,2007,1,31458718
9411,Pimpri-Chinchwad,1146,2,2,2008,1,7415015
9412,Viman Nagar,3722,5,5,1994,1,26547614
9413,Viman Nagar,1388,3,3,2026,0,12277915
9414,Pimpri-Chinchwad,2514,4,4,2019,1,16884716
9415,Pimpri-Chinchwad,2700,5,4,2007,1,16618416
9416,Viman Nagar,547,1,1,2023,0,4753652
9417,Koregaon Park,590,1,1,2019,1,7727157
9418,Viman Nagar,1263,3,2,2022,1,11963120
9419,Hinjewadi,1373,3,3,2005,1,7650790
9420,Hinjewadi,660,1,1,2018,1,4037687
9421,Viman Nagar,511,1,2,2016,0,4693407
9422,Koregaon Park,1361,3,3,2006,1,16190642
9423,Kalyani Nagar,1252,3,2,2002,1,12711898
9424,Kalyani Nagar,565,1,2,2011,0,5706952
9425,Pimpri-Chinchwad,2900,5,4,2010,1,18544198
9426,Hinjewadi,2781,5,4,2010,1,15174989
9427,Koregaon Park,949,2,2,2016,1,12284394
9428,Pimpri-Chinchwad,1139,2,2,1999,1,6995801
9429,Kalyani Nagar,1004,2,2,2007,0,10072067
9430,Koregaon Park,1209,3,3,2013,1,15038032
9431,Koregaon Park,624,1,1,2026,1,8609088
9432,Koregaon Park,2022,4,4,2024,1,27213723
9433,Koregaon Park,537,1,2,1990,1,5768749
9434,Pimpri-Chinchwad,606,1,2,2006,1,3984698
9435,Viman Nagar,1477,3,3,2001,0,11808398
9436,Koregaon Park,1611,3,3,1996,1,17199341
9437,Koregaon Park,1124,2,2,2026,1,15436645
9438,Hinjewadi,907,2,2,1995,1,5080387
9439,Viman Nagar,2060,4,4,2008,1,16726859
9440,Hinjewadi,616,1,1,2017,0,3518927
9441,Hinjewadi,2759,5,4,1990,1,14002182
9442,Viman Nagar,642,1,1,2020,1,5521942
9443,Hinjewadi,1696,3,3,1999,1,9324806
9444,Kalyani Nagar,1148,2,2,2017,1,11813674
9445,Koregaon Park,595,1,2,2013,0,7595356
9446,Kalyani Nagar,2022,4,4,1994,1,19691891
9447,Koregaon Park,3203,5,5,2003,1,38000849
9448,Pimpri-Chinchwad,3169,5,5,2022,1,20870672
9449,Pimpri-Chinchwad,1068,2,2,2009,1,7158404
9450,Koregaon Park,1063,2,2,1994,0,11259841
9451,Kalyani Nagar,1065,2,2,1998,0,10443729
9452,Viman Nagar,2564,4,3,2016,1,21318867
9453,Pimpri-Chinchwad,2496,4,4,2016,1,16204329
9454,Pimpri-Chinchwad,1058,2,2,1998,1,6370328
9455,Pimpri-Chinchwad,1141,2,2,2008,0,6871677
9456,Kalyani Nagar,2313,4,4,2017,1,23232736
9457,Viman Nagar,4164,5,5,2000,1,31108732
9458,Viman Nagar,4073,5,5,1994,1,29169939
9459,Viman Nagar,1987,4,3,2018,1,17593088
9460,Hinjewadi,609,1,1,2004,1,3437457
9461,Koregaon Park,2190,4,4,1998,1,25159257
9462,Koregaon Park,1149,2,2,2017,1,14348245
9463,Kalyani Nagar,662,1,1,1990,0,5925180
9464,Viman Nagar,750,1,2,2020,0,6572866
9465,Kalyani Nagar,1673,3,2,2011,1,17514993
9466,Hinjewadi,2223,4,3,1993,1,11720989
9467,Hinjewadi,1356,3,2,2015,0,8244550
9468,Hinjewadi,3995,5,4,2013,0,21338152
9469,Kalyani Nagar,534,1,1,2019,1,6005033
9470,Hinjewadi,660,1,2,2024,0,4011152
9471,Koregaon Park,886,2,2,2021,1,11359750
9472,Kalyani Nagar,2336,4,3,2016,0,22929081
9473,Viman Nagar,4128,5,4,2021,1,34650726
9474,Koregaon Park,528,1,1,2021,0,6671571
9475,Hinjewadi,670,1,2,1995,1,3564297
9476,Pimpri-Chinchwad,1636,3,2,2025,1,11419419
9477,Pimpri-Chinchwad,3253,5,5,2007,1,19319615
9478,Hinjewadi,2069,4,3,2002,1,11806736
9479,Viman Nagar,510,1,1,2019,0,4416639
9480,Pimpri-Chinchwad,837,2,2,1992,1,5385985
9481,Kalyani Nagar,2161,4,3,2017,1,21675012
9482,Hinjewadi,1451,3,3,1994,0,7443367
9483,Pimpri-Chinchwad,551,1,2,1999,1,3686754
9484,Pimpri-Chinchwad,954,2,2,2026,1,7015420
9485,Viman Nagar,4016,5,4,1996,1,29437790
9486,Viman Nagar,2560,4,3,2005,1,20764811
9487,Kalyani Nagar,1230,3,3,2006,0,11826422
9488,Kalyani Nagar,560,1,2,2017,0,5901676
9489,Kalyani Nagar,2551,4,4,2020,1,27067613
9490,Pimpri-Chinchwad,1248,3,3,2016,1,8681175
9491,Viman Nagar,913,2,2,2013,1,7904499
9492,Pimpri-Chinchwad,2736,5,5,2010,1,18450836
9493,Kalyani Nagar,640,1,2,2021,1,7358233
9494,Koregaon Park,1525,3,2,2011,1,18593788
9495,Viman Nagar,1456,3,2,2002,0,11546844
9496,Koregaon Park,2086,4,4,2005,1,24812732
9497,Koregaon Park,870,2,2,2007,0,10066059
9498,Pimpri-Chinchwad,508,1,2,2026,0,3587452
9499,Koregaon Park,984,2,2,2009,1,11556371
9500,Viman Nagar,685,1,1,2016,0,5772662
9501,Pimpri-Chinchwad,1691,3,2,1994,1,10149494
9502,Viman Nagar,622,1,1,1998,0,4780478
9503,Viman Nagar,679,1,2,1990,0,5213992
9504,Kalyani Nagar,3753,5,4,2024,1,40972934
9505,Pimpri-Chinchwad,1214,3,3,2018,0,8293387
9506,Hinjewadi,1643,3,2,1992,1,8172944
9507,Kalyani Nagar,1010,2,2,2023,0,11023287
9508,Viman Nagar,4179,5,4,1992,1,28846289
9509,Koregaon Park,1898,4,3,2019,1,24515816
9510,Kalyani Nagar,831,2,2,1993,1,7588336
9511,Koregaon Park,2973,5,5,2021,0,37428653
9512,Koregaon Park,3396,5,5,2012,1,41021500
9513,Koregaon Park,639,1,1,2020,0,8122765
9514,Kalyani Nagar,1556,3,3,2010,1,16575317
9515,Pimpri-Chinchwad,1201,3,3,2010,0,8262069
9516,Hinjewadi,1621,3,3,2018,1,9710735
9517,Koregaon Park,500,1,2,2012,1,6597692
9518,Koregaon Park,3557,5,4,2020,1,44385454
9519,Koregaon Park,954,2,2,2024,1,12750096
9520,Viman Nagar,1480,3,2,2014,1,12241949
9521,Pimpri-Chinchwad,3591,5,4,1998,1,21697155
9522,Viman Nagar,906,2,2,1995,1,6949165
9523,Pimpri-Chinchwad,2904,5,5,2021,1,19655214
9524,Kalyani Nagar,3393,5,5,2022,1,34437100
9525,Viman Nagar,566,1,2,2020,0,4951443
9526,Viman Nagar,553,1,2,2001,0,4365981
9527,Viman Nagar,819,2,2,2007,1,7197863
9528,Viman Nagar,2032,4,3,2022,1,17565234
9529,Koregaon Park,2154,4,4,2020,1,28007504
